TGO,Togo,8278737,914.950582595136
TON,Tonga,105697,4903.01213835449
TTO,Trinidad and Tobago,1399491,15384.0394609875
TUN,Tunisia,11818618,3319.81902353323
TUR,Turkey,84339067,8538.16905982745
TKM,Turkmenistan,6031187,7612.03518009452
TCA,Turks and Caicos Islands,38718,23879.9266491038
TUV,Tuvalu,11792,4143.10975263011
UGA,Uganda,45741000,817.035756926923
UKR,Ukraine,44134693,3726.92714937055
ARE,United Arab Emirates,9890400,43103.3362929869
GBR,United Kingdom,67215293,40284.6384553276
USA,United States,329484123,63543.577788724
UMC,Upper middle income,2513672792,9191.68073255036
URY,Uruguay,3473727,15438.4116657291
UZB,Uzbekistan,34232050,1685.76494675082
VUT,Vanuatu,307150,2782.98434037313
VEN,"Venezuela, RB",28435943,16055.6453173826
VNM,Vietnam,97338583,2785.724156875
VIR,Virgin Islands (U.S.),106290,37233.2968850758
PSE,West Bank and Gaza,4803269,3239.73110812657
WLD,World,7752840547,10909.2870463763
YEM,"Yemen, Rep.",29825968,824.117717965627
ZMB,Zambia,18383956,1050.91928305741
ZWE,Zimbabwe,14862927,1128.21071129808
